Ime,Znamka,Količina,Cena,Originalna cena,Popust,Prednosti
3-kreatin malat,AllNutrition,250 g,21.99 €,,,"['za napitek z aromo pomaranče', 'za športnike in bodybilderje', 'v zelo topni obliki']"
L-karnitin shot – napitek s kofeinom,Genius Nutrition,12 x 80 ml,20.99 €,22.99 €,-9%,"['s kofeinom', 'zmanjšanje utrujenosti', 'okus malina-citrusi']"
Kofein PLUS,Sanct Bernhard,120 kapsul,13.99 €,18.99 €,-26%,"['izvleček zelenega čaja in kave', 'visok odmerek', 'z vitamini B kompleksa']"
Electrovit shot – napitek z elektroliti,ActivLab,12 x 80 ml,18.99 €,,,"['podpora hidraciji', 'magnezij, kalij, kalcij, klorid', 'okus jagode']"
Joint + – kompleks za mišice in sklepe,QNT,60 kapsul,16.99 €,,,"['s kalcijem in vitaminom D3', 'podpora kostem in vezivnim tkivom', 'glukozamin + hondroitin']"
Beta-alanin,AllNutrition,240 kapsul,14.49 €,,,"['za več energije', 'aminokislina', 'tavrin + vitamin B6']"
CLA 3000 mg,WeightWorld,180 mehkih kapsul,16.99 €,,,"['konjugirana linolna kislina', '3000 mg v 3 kapsulah', 'omega-6 iz olja žafranike']"
Tavrin,Herbafit,180 kapsul,15.49 €,17.99 €,-14%,"['visoka stopnja absorpcije', 'zmanjševanje utrujenosti', 'z vitaminom B2']"
3x BIO Konopljini proteini,FutuNatura,skupaj 1500 g,37.49 €,43.47 €,-14%,"['\u200brastlinski vir\xa0beljakovin', 'iz ekološke pridelave', 'obogatitev prehrane']"
Kofein 200 mg,AllNutrition,100 kapsul,9.99 €,,,"['standardizirana vsebnost', 'odlično za športnike', 'za pred vadbo']"
L-Arginin 500 mg,Sanct Bernhard,150 kapsul,15.99 €,16.49 €,-3%,"['500 mg čisti L-arginin', 'B6, B12 in folna kislina', 'nepogrešljiva aminokislina']"
WARCRY® proteinska ploščica – arašidi in karamela,Genius Nutrition,55 g,1.99 €,,,"['s sladilom', 'visoka vsebnost beljakovin', 'brez dodanih sladkorjev']"
V-Protein 4K veganski proteini – malinov jogurt,ProFuel,750 g,22.49 €,,,"['mešanica 4 rastlinskih proteinov', 'visoka vsebnost beljakovin', 'brez\xa0laktoze']"
